Source IP,Source Port,Destination IP,Destinatino Port,Protocol,Num_pkts,Bytes,Stream ID,StoD Num_pkts,StoD bytes,DtoS Num_pkts,DtoS bytes,Captured Time,Duration,StoD bits/sec,DtoS bits/sec
192.168.0.38,51186,66.22.228.211,50001,UDP,15776,18012247,0,15115,17936733,661,75514,0,53.536196,2680314,11284
192.168.0.54,5353,224.0.0.251,5353,UDP,315,93246,1,315,93246,0,0,0.060194,5013.060049,148,0
fe80::10ea:5b59:7fe5:b963,5353,ff02::fb,5353,UDP,314,99721,2,314,99721,0,0,0.060195,5013.060049,159,0
192.168.0.15,5353,224.0.0.251,5353,UDP,922,277533,3,922,277533,0,0,0.162717,3204.244787,692,0
fe80::104b:82fd:b8fa:a3d6,5353,ff02::fb,5353,UDP,924,296433,4,924,296433,0,0,0.162717,3204.244788,740,0
192.168.0.38,55604,142.250.206.238,443,UDP,40,19296,5,19,9881,21,9415,0.919498,5.684425,13906,13250
192.168.0.38,49849,142.250.206.202,443,UDP,693,55391,6,342,29912,351,25479,0.995193,533.710325,448,381
192.168.0.38,56459,139.178.159.29,443,UDP,21,1681,7,12,1012,9,669,1.179689,110.834657,73,48
211.114.67.76,443,192.168.0.38,57867,UDP,112733,115657540,8,90684,112960021,22049,2697519,1.93972,2784.71479,324514,7749
192.168.0.27,5353,224.0.0.251,5353,UDP,167,17201,9,167,17201,0,0,2.312151,5008.760002,27,0
192.168.0.43,5353,224.0.0.251,5353,UDP,221,86341,10,221,86341,0,0,3.33707,3090.47914,223,0
fe80::807:ac3d:1c77:dc5a,5353,ff02::fb,5353,UDP,221,90851,11,221,90851,0,0,3.337071,3090.47914,235,0
192.168.0.38,63619,142.250.206.206,443,UDP,407,185349,12,190,93247,217,92102,5.260057,111.667322,6680,6598
192.168.0.38,52100,168.126.63.2,53,UDP,2,299,13,1,75,1,224,7.150315,0.005144,116640,348367
192.168.0.38,30213,168.126.63.2,53,UDP,2,199,14,1,75,1,124,7.150392,0.005069,118366,195699
192.168.0.38,54631,162.159.129.235,443,TCP,696,73437,0,461,44371,235,29066,7.724735,3124.202234,113,74
192.168.0.28,5353,224.0.0.251,5353,UDP,264,70814,15,264,70814,0,0,8.764802,5002.20426,113,0
fe80::804:6484:7cc3:9ef6,5353,ff02::fb,5353,UDP,264,76097,16,264,76097,0,0,8.764803,5002.20426,121,0
162.159.136.234,443,192.168.0.38,54630,TCP,72,7720,1,36,5044,36,2676,8.776147,195.943472,205,109
192.168.0.38,5353,192.168.0.28,5353,UDP,10,4094,17,8,3512,2,582,8.998883,4217.06222,6,1
192.168.0.38,34405,168.126.63.2,53,UDP,2,182,18,1,83,1,99,10.503844,0.005678,116942,139485
192.168.0.38,5694,168.126.63.2,53,UDP,4,396,19,2,157,2,239,10.503913,1056.37227,1,1
192.168.0.38,49305,142.250.207.110,443,UDP,19,6876,20,9,2462,10,4414,10.510427,0.259899,75783,135868
192.168.0.31,5353,224.0.0.251,5353,UDP,167,50105,21,167,50105,0,0,11.938202,4217.500335,95,0
fe80::188c:a884:b214:f66e,5353,ff02::fb,5353,UDP,167,53445,22,167,53445,0,0,11.938203,4217.500337,101,0
192.168.0.38,5353,192.168.0.31,5353,UDP,11,5345,23,11,5345,0,0,12.351396,2908.243721,14,0
192.168.0.38,51346,139.178.159.29,443,UDP,71,5595,24,38,3170,33,2425,12.724591,358.452235,70,54
192.168.0.38,52627,168.126.63.2,53,UDP,107,10700,25,107,10700,0,0,15.324532,3162.643458,27,0
192.168.0.38,54542,74.125.204.188,5228,TCP,146,8976,2,75,4224,71,4752,15.384378,3140.69596,10,12
192.168.0.45,5353,224.0.0.251,5353,UDP,240,66421,26,240,66421,0,0,15.625638,3133.589103,169,0
fe80::821:38f9:cb9c:e77,5353,ff02::fb,5353,UDP,240,71221,27,240,71221,0,0,15.625639,3133.589103,181,0
